object_path,product_id,picture_name,category_id,int_attr,str_attr,custom_content
item_image/676ec5f0-15e6-1acb-40c3-39b3a2d3cf47.jpg,676ec5f0-15e6-1acb-40c3-39b3a2d3cf47,676ec5f0-15e6-1acb-40c3-39b3a2d3cf47,4,4000,sb and 11,"{""color"": ""FAEB78""}"
item_image/6b9d729a-62ec-9080-61b4-8142a4449621.jpg,6b9d729a-62ec-9080-61b4-8142a4449621,6b9d729a-62ec-9080-61b4-8142a4449621,4,5000,sb and sbc,"{""color"": ""CD3C3C""}"
item_image/6f90875b-1b09-c910-6f2d-10e70b426d49.jpg,6f90875b-1b09-c910-6f2d-10e70b426d49,6f90875b-1b09-c910-6f2d-10e70b426d49,4,1000,SBC,"{""color"": ""C0FFFF""}"
item_image/70ec6fe9-5168-d527-9cd6-57ce7853280a.jpg,70ec6fe9-5168-d527-9cd6-57ce7853280a,70ec6fe9-5168-d527-9cd6-57ce7853280a,4,2000,SB and 1,"{""color"": ""1E96FF""}"
item_image/790e5d63-e275-4cfe-3e2b-d3c75443df70.jpg,790e5d63-e275-4cfe-3e2b-d3c75443df70,790e5d63-e275-4cfe-3e2b-d3c75443df70,4,2000,SB and 1,"{""color"": ""69EEA8""}"
item_image/79f9277d-0986-4b65-de4f-b7d2f2cb2c23.jpg,79f9277d-0986-4b65-de4f-b7d2f2cb2c23,79f9277d-0986-4b65-de4f-b7d2f2cb2c23,4,2000,SB and 1,"{""color"": ""94EB3E""}"
item_image/7c1386c4-8828-0b58-77f7-533b06e95b36.jpg,7c1386c4-8828-0b58-77f7-533b06e95b36,7c1386c4-8828-0b58-77f7-533b06e95b36,4,1000,SBC,"{""color"": ""AFDDFA""}"
item_image/7d7905a7-eaef-b37e-d68c-2b5fcc9e8f45.jpg,7d7905a7-eaef-b37e-d68c-2b5fcc9e8f45,7d7905a7-eaef-b37e-d68c-2b5fcc9e8f45,4,5000,sb and sbc,"{""color"": ""9932CC""}"
item_image/7dff7750-c21c-f568-98de-95ec2ac4d4b7.jpg,7dff7750-c21c-f568-98de-95ec2ac4d4b7,7dff7750-c21c-f568-98de-95ec2ac4d4b7,4,2000,SB and 1,"{""color"": ""FFB6C1""}"
item_image/7fd9fa62-e7b1-81e4-9603-89c0da933140.jpg,7fd9fa62-e7b1-81e4-9603-89c0da933140,7fd9fa62-e7b1-81e4-9603-89c0da933140,4,3000,sbc,"{""color"": ""FFBCB9""}"
item_image/81c41732-7037-6201-3b38-e9a114b0c3d9.jpg,81c41732-7037-6201-3b38-e9a114b0c3d9,81c41732-7037-6201-3b38-e9a114b0c3d9,4,5000,sb and sbc,"{""color"": ""FFC341""}"
item_image/81f06523-d459-e4e0-6c74-098556785601.jpg,81f06523-d459-e4e0-6c74-098556785601,81f06523-d459-e4e0-6c74-098556785601,4,3000,sbc,"{""color"": ""FFE146""}"
